GENERAL-AREA,LOCAL-AREA,HIKE,DIFFICULTY,DISTANCE,ELEVATION-CHANGE,NOTES
Willamette Valley Area,Corvallis Area,Cardwell Hill-Fitton Green Hike,Moderate,7.8,1075,Walk an old wagon road and then take in the views from a grassy hilltop
Willamette Valley Area,Corvallis Area,Mulkey Ridge-Fitton Green Loop Hike,Moderate,6.9,1155,"Hike past lush pastures, and then take a forested ridge to get views from Fitton Green"
Willamette Valley Area,Corvallis Area,Bald Hill Loop Hike,Easy,3.1,440,Loop through pastureland and up to a viewpoint on an oak-forested hill
Willamette Valley Area,Corvallis Area,Avery Park Loop Hike,Easy,1.3,30,Leafy loop around a bend in the Marys River
Willamette Valley Area,Coburg Hills,Horse Rock Ridge Hike,Easy,3.2,660,Steep open meadows on BLM land northeast of Eugene
Willamette Valley Area,Coburg Hills,Shotgun Creek Loop Hike,Easy,4.6,800,Loop hike on forested slopes above Shotgun Creek
Willamette Valley Area,Eugene,Alton Baker Park Loop Hike,Easy,4.9,30,Loop along the Willamette and then the Canoe Canal in Eugene's largest park
Willamette Valley Area,Eugene,Eugene Riverbank Loop Hike,Moderate,9.6,50,Take paved paths on both sides of the Willamette River in Eugene
Willamette Valley Area,Eugene,Skinner Butte Loop Hike,Easy,3.1,270,"Visit a mansion, a viewpoint, and hike through leafy woods to the Willamette River"
Willamette Valley Area,Eugene,Hendricks Park Loop Hike,Easy,2.3,240,Walk through natural coniferous and oak woods as well as a rhododendron garden
Willamette Valley Area,Eugene,Wild Iris Ridge Loop Hike,Easy,3.5,730,Hike through the meadows of an oak savanna with some views
Willamette Valley Area,Eugene,Willow Creek Preserve Loop Hike,Easy,2.7,55,Walk the meadows of a Nature Conservancy Preserve in restoration
Willamette Valley Area,Eugene,Ridgeline Trail Hike,Moderate,7.9,1110,Take a walk along the forested ridges in south Eugene
Willamette Valley Area,Eugene,Spencer Butte Loop Hike,Easy,1.7,755,Loop to the highest point in Eugene's south hills
Willamette Valley Area,Eugene,Mount Baldy Loop Hike,Easy,3.5,510,Hike to a grassy summit with extensive views to the east
Willamette Valley Area,Springfield and East,Dorris Ranch Loop Hike,Easy,2.4,60,Easy loop around Oregon's original filbert orchards
Willamette Valley Area,Springfield and East,Mount Pisgah West Loop Hike,Moderate,6.3,1345,Hike the oak savannas of Mt. Pisgah with views and spring wildflowers
Willamette Valley Area,Springfield and East,Mount Pisgah Arboretum Loop Hike,Easy,1.9,350,Loop around a natural arboretum on the Coast Fork Willamette River
Willamette Valley Area,Springfield and East,Mount Pisgah East Loop Hike,Moderate,5.6,990,Loop up through coniferous forest to the top of Mt. Pisgah
Willamette Valley Area,Springfield and East,Elijah Bristow Loop Hike,Easy,5.1,20,Loop through meadows and along the Middle Fork Willamette River
Willamette Valley Area,Springfield and East,Tufti Park Hike,Easy,1.5,110,Woodsy wander to a swimming hole below the Fall Creek Dam
